title,text,subject,date
"Trump declares end to 'war on coal,' but utilities aren't listening"," WASHINGTON/LOS ANGELES/NEW YORK (Reuters) - When President Donald Trump signed an executive order last week to sweep away Obama-era climate change regulations, he said it would end Americas war on coal, usher in a new era of energy production and put miners back to work.  But the biggest consumers of U.S. coal - power generating companies - remain unconvinced.  Reuters surveyed 32 utilities with operations in the 26 states that sued former President Barack Obamas administration to block its Clean Power Plan, the main target of Trumps executive order. The bulk of them have no plans to alter their multi-billion dollar, years-long shift away from coal, suggesting demand for the fuel will keep falling despite Trumps efforts.  The utilities gave many reasons, mainly economic: Natural gas - coals top competitor - is cheap and abundant; solar and wind power costs are falling; state environmental laws remain in place; and Trumps regulatory rollback may not survive legal challenges.  Meanwhile, big investors aligned with the global push to fight climate change  such as the Norwegian Sovereign Wealth Fund  have been pressuring U.S. utilities in which they own stakes to cut coal use.  Im not going to build new coal plants in todays environment, said Ben Fowke, CEO of Xcel Energy, which operates in eight states and uses coal for about 36 percent of its electricity production. And if Im not going to build new ones, eventually there wont be any.  REUTERS RECOMMENDSWindow closing for Republican stealth assault on regulationsAfter Australian cyclone, coking coal spikes as China chases U.S. supplies Of the 32 utilities contacted by Reuters, 20 said Trumps order would have no impact on their investment plans; five said they were reviewing the implications of the order; six gave no response. Just one said it would prolong the life of some of its older coal-fired power units.  North Dakotas Basin Electric Power Cooperative was the sole utility to identify an immediate positive impact of Trumps order on the outlook for coal.  Were in the situation where the executive order takes a lot of pressure off the decisions we had to make in the near term, such as whether to retrofit and retire older coal plants, said Dale Niezwaag, a spokesman for Basin Electric. But Trump can be a one-termer, so the reprieve out there is short.  Trumps executive order triggered a review aimed at killing the Clean Power Plan. The Obama-era law would have required states, by 2030, to collectively cut carbon emissions from existing power plants by 30 percent from 2005 levels. It was designed as a primary strategy in U.S. efforts to fight global climate change.  The U.S. coal industry, without increases in domestic demand, would need to rely on export markets for growth. Shipments of U.S. metallurgical coal, used in the production of steel, have recently shown up in China following a two-year hiatus - in part to offset banned shipments from North Korea and temporary delays from cyclone-hit Australian producers.  Coal had been the primary fuel source for U.S. power plants for the last century, but its use has fallen more than a third since 2008 after advancements in drilling technology unlocked new reserves of natural gas.  Hundreds of aging coal-fired power plants have been retired or retrofitted. Huge coal mining companies like Peabody Energy Corp and Arch Coal fell into bankruptcy, and production last year hit its lowest point since 1978.  The slide appears likely to continue: U.S. power companies now expect to retire or convert more than 8,000 megawatts of coal-fired plants in 2017 after shutting almost 13,000 MW last year, according to U.S. Energy Information Administration and Thomson Reuters data.  Luke Popovich, a spokesman for the National Mining Association, acknowledged Trumps efforts would not return the coal industry to its glory days, but offered some hope.  There may not be immediate plans for utilities to bring on more coal, but the future is always uncertain in this market, he said.  Many of the companies in the Reuters survey said they had been focused on reducing carbon emissions for a decade or more and were hesitant to change direction based on shifting political winds in Washington D.C.  Utility planning typically takes place over much longer periods than presidential terms of office, Berkshire Hathaway Inc-owned Pacificorp spokesman Tom Gauntt said.  Several utilities also cited falling costs for wind and solar power, which are now often as cheap as coal or natural gas, thanks in part to government subsidies for renewable energy.  In the meantime, activist investors have increased pressure on U.S. utilities to shun coal.  In the last year, Norways sovereign wealth fund, the worlds largest, has excluded more than a dozen U.S. power companies - including Xcel, American Electric Power Co Inc and NRG Energy Inc - from its investments because of their reliance on coal-fired power.  Another eight companies, including Southern Co and NorthWestern Corp, are under observation by the fund.  Wyoming-based coal miner Cloud Peak Energy said it doesnt blame utilities for being lukewarm to Trumps order.  "For eight years"," if you were a utility running coal"," you got the hell kicked out of you"
"U.S. senator launches probe into five top opioid drugmakers","(Reuters) - U.S. Democratic Senator Claire McCaskill sought on Tuesday details from the nations top opioid drugmakers on their sales and marketing practices, as lawmakers step up efforts to tackle the countrys deadly opioid crisis. The Missouri senators investigation comes amid an epidemic of opioid addiction, with 91 Americans dying everyday as a result of overdose, according to the U.S. Centers for Disease Control and Prevention. "This epidemic is the direct result of a calculated sales and marketing strategy major opioid manufacturers have allegedly pursued over the past 20 years to expand their market share"," McCaskill"," the top Democrat on the Senate Homeland Security and Governmental Affairs Committee"
"U.S. Congressman asks DoD to investigate TransDigm's practices","(Reuters) - U.S. Congressman Ro Khanna asked the Department of Defense for an investigation into the business practices of aircraft components supplier TransDigm Group Inc, sending the companys shares down as much as 9.7 percent on Tuesday. In a letter dated March 20 to Glenn Fine, the acting inspector general of the U.S. DoD, Khanna requested for a probe into the company for potential waste, fraud and abuse in the defense industrial base. Khanna, who is a member of the House Armed Services Committee, wrote that recent reports indicate TransDigm may be operating as a "hidden monopolist"" and more information must be made available to the public on the company's business practices. (bit.ly/2njH3vI) Short-seller Citron Research had issued a critical report on TransDigm in January. Shares of the company which has fallen nearly 4.4 percent since the beginning of the year"," touched a one-month low of $214.99 on Tuesday. TransDigm did not immediately respond to a request for comment. "",politicsNews
"Missing from Trump's grand Navy plan: skilled workers to build the fleet"," WASHINGTON (Reuters) - U.S. President Donald Trump says he wants to build dozens of new warships in one of the biggest peace-time expansions of the U.S. Navy. But interviews with ship-builders, unions and a review of public and internal documents show major obstacles to that plan.  The initiative could cost nearly $700 billion in government funding, take 30 years to complete and require hiring tens of thousands of skilled shipyard workers - many of whom dont exist yet because they still need to be hired and trained, according to the interviews and the documents reviewed.  Trump has vowed a huge build-up of the U.S. military to project American power in the face of an emboldened China and Russia. That includes expanding the Navy to 350 warships from 275 today. He has provided no specifics, including how soon he wants the larger fleet. (For graphics on projected strength of U.S. Navy, shipyard employment see: tmsnrt.rs/2n3vOr0)  The Navy has given Defense Secretary Jim Mattis a report that explores how the countrys industrial base could support higher ship production, Admiral Bill Moran, the vice chief of Naval Operations with oversight of the Navys shipbuilding outlook, told Reuters.  He declined to give further details. But those interviewed for this story say there are clearly two big issues - there are not enough skilled workers in the market, from electricians to welders, and after years of historically low production, shipyards and their suppliers, including nuclear fuel producers, will struggle to ramp up for years.  To be sure, the first, and biggest, hurdle for Trump to overcome is to persuade a cost-conscious Congress to fund the military buildup.  The White House declined to comment. A Navy spokeswoman said increases being considered beyond the current shipbuilding plan would require sufficient time to allow companies to ramp up capacity.  The two largest U.S. shipbuilders, General Dynamics Corp (GD.N) and Huntington Ingalls Industries Inc (HII.N), told Reuters they are planning to hire a total of 6,000 workers in 2017 just to meet current orders, such as the Columbia class ballistic missile submarine.  General Dynamics hopes to hire 2,000 workers at Electric Boat this year. Currently projected order levels would already require the shipyard to grow from less than 15,000 workers, to nearly 20,000 by the early 2030s, company documents reviewed by Reuters show.  Huntington Ingalls, the largest U.S. military shipbuilder, plans to hire 3,000 at its Newport News shipyard in Norfolk, Virginia, and another 1,000 at the Ingalls shipyard in Mississippi this year to fulfill current orders, spokeswoman Beci Brenton said.  Companies say they are eager to work with Trump to build his bigger Navy. But expanding hiring, for now, is difficult to do until they receive new orders, officials say.  Its hard to look beyond current orders, Brenton said.  Smaller shipbuilders and suppliers are also cautious.  You cant hire people to do nothing, said Jill Mackie, spokeswoman for Portland, Oregon-based Vigor Industrial LLC, which makes combat craft for the Navys Special Warfare units. Until funding is there ... you cant bring on more workers.  Because companies wont hire excess workers in advance, they will have a huge challenge in expanding their workforces rapidly if a shipbuilding boom materializes, said Bryan Clark, who led strategic planning for the Navy as special assistant to the chief of Naval Operations until 2013.  Union and shipyard officials say finding skilled labor just for the work they already have is challenging. Demand for pipeline welders is so strong that some can make as much as $300,000 per year, including overtime and benefits, said Danny Hendrix, the business manager at Pipeliners Local 798, a union representing 6,500 metal workers in 42 states.  Much of the work at the submarine yards also requires a security clearance that many cant get, said Jimmy Hart, president of the Metal Trades Department at the AFL-CIO union, which represents 100,000 boilermakers, machinists, and pipefitters, among others.  To help grow a larger labor force from the ground up, General Dynamics Electric Boat has partnered with seven high schools and trade schools in Connecticut and Rhode Island to develop a curriculum to train a next generation of welders and engineers.  It has historically taken five years to get someone proficient in shipbuilding, said Maura Dunn, vice president of human resources at Electric Boat.  It can take as many as seven years to train a welder skilled enough to make the most complex type of welds, radiographic structural welds needed on a nuclear-powered submarine, said Will Lennon, vice president of the shipyards Columbia Class submarine program.  The Navy envisioned by Trump could create more than 50,000 jobs, the Shipbuilders Council of America, a trade group representing U.S. shipbuilders, repairers and suppliers, told Reuters.  The U.S. shipbuilding and repairing industry employed nearly 100,000 in 2016, Labor Department statistics show. The industry had as many as 176,000 workers at the height of the Cold War in the early 1980s as the United States built up a fleet of nearly 600 warships by the end of that decade.  Apart from the labor shortage, there are also serious capacity and supply chain issues that would be severely strained by any plan to expand the Navy, especially its submarine fleet.  Expanding the Navy to 350 ships is not as simple as just adding 75 ships. Many ships in the current 275-vessel fleet need to be replaced, which means the Navy would have to buy 321 ships between now and 2046 to reach Trumps goal, the Congressional Budget Office said in a report in February.  The shipyards that make nuclear submarines - General Dynamics Electric Boat in Groton, Connecticut, and Huntingtons Newport News - produced as many as seven submarines per year between them in the early 1980s. But for more than a decade now, the yards have not built more than two per year.  The nuclear-powered Virginia class and Columbia class submarines are among the largest and most complex vessels to build. The first Columbia submarine, which is set to begin construction in 2021, will take seven years to build, and two to three additional years to test.  Retooling the long-dormant shipyard space will take several years and significant capital investments, but a bigger problem is expanding the supply chain, said Clark, the former strategist for the Navy and now a senior fellow at the Center for Strategic and Budgetary Assessments.  Makers of submarine components such as reactor cores, big castings, and forgers of propellers and shafts would need five years to double production, said a congressional official with knowledge of the Navys long-term planning.  We have been sizing the industrial base for two submarines a year. You cant then just throw one or two more on top of that and say, Oh here, dial the switch and produce four reactor cores a year instead of two. You just cant, the official said.  In his first budget proposal to Congress on Thursday, Trump proposed boosting defense spending by $54 billion for the fiscal 2018 year  a 10 percent increase from last year. He is also seeking $30 billion for the Defense Department in a supplemental budget for fiscal 2017, of which at least $433 million is earmarked for military shipbuilding.  A 350-ship Navy would cost $690 billion over the 30-year period, or $23 billion per year - 60 percent more than the average funding the Navy has received for shipbuilding in the past three decades, the Congressional Budget Office said.  Senator John McCain, chairman of the Senate Armed Services Committee, who will have a major say in approving the defense budget, said in a statement to Reuters that he supported Trumps vision to increase the size of the Navy to deter adversaries.  "However"," this is not a blank check"," he said.  (Click here for a graphic on 'Fleet expansion' here)  ""
"Tillerson's use of email alias at Exxon 'entirely proper': Exxon attorneys","(Reuters) - U.S. Secretary of State Rex Tillersons use of an alias email address while he was chief executive at Exxon Mobil Corp was entirely proper, attorneys representing the company said in a letter to a New York court on Thursday. New York Attorney General Eric Schneiderman, who is investigating whether Exxon misled shareholders and the public about climate change, wrote to a judge on Monday accusing Exxon of not previously disclosing the alias and Tillersons communications through it.  Tillerson had used the alias email address while at the oil company to send and receive information related to climate change and other matters. "It (alias email address) allowed a limited group of senior executives to send time-sensitive messages to Mr. Tillerson that received priority over the normal daily traffic that crossed the desk of a busy CEO. The purpose was efficiency"," not secrecy"," attorneys at the law firm Paul Weiss Rifkind Wharton & Garrison LLP said. (bit.ly/2ntj6mk) Had Tillerson set up the alias email address with the purpose of secrecy"
"Republican Obamacare repeal would benefit wealthiest: study","WASHINGTON (Reuters) - A Republican plan to repeal taxes set under Obamacare would benefit the wealthiest U.S. households at more than five times the rate for middle-income families, according to the nonpartisan Tax Policy Center. "The effects are really very dramatic. We found that a typical middle-income family would get a tax cut averaging about $300"," while people in the top 0.1 percent would get a tax cut of about $207",000
"White House welcomes strong jobs data in potentially rule-violating tweets"," WASHINGTON (Reuters) - A series of tweets by White House spokesman Sean Spicer on Friday commenting on strong February job creation figures may have run afoul of federal guidance barring most officials from commenting on key economic data within an hour of its release.  The rule, Statistical Policy Directive Number 3, is meant to preserve the distinction between the policy-neutral release of data by statistical agencies and their interpretation by policy officials, the White House budget office explained when it published the most recent version in September 1985.  Jason Furman, who led President Barack Obamas Council of Economic Advisers, noted on Twitter that the rule had been in place for decades: Everyone has followed it. Until now.  Asked about the tweets at a White House news briefing, Spicer said the posts simply repeated public information and did not provide any analysis that could have disrupted markets.  Were excited to see so many Americans back to work, he said. So, I apologize if we were a little excited.  Erica Groshen, who led the Labor Departments statistical arm for four years under Obama, in her own comment on Twitter called the directive a best practice separating non-partisan number crunchers from officials with a more-political bent.  In its monthly report on U.S. employment, released at 8:30 a.m. (1330 GMT), the Labor Department said non-farm employers added 235,000 workers to their payrolls, with the unemployment rate dropping a tenth of a percentage point to 4.7 percent.  The monthly jobs data sets the tone for financial markets worldwide, and the robust pace of employment growth in February was seen as giving the Federal Reserve a green light to raise interest rates next week.  Twenty-four minutes after the data was released, Spicer tweeted, "Great news for American workers: economy added 235","000 new jobs"," unemployment rate drops to 4.7% in first report for @POTUS Trump.""  Minutes later"
"Trump administration drafts plan to raise asylum bar, speed deportations","WASHINGTON (Reuters) - The Department of Homeland Security has prepared new guidance for immigration agents aimed at speeding up deportations by denying asylum claims earlier in the process.  The new guidelines, contained in a draft memo dated February 17 but not yet sent to field offices, directs agents to only pass applicants who have a good chance of ultimately getting asylum, but does not give specific criteria for establishing credible fear of persecution if sent home.   The guidance instructs asylum officers to "elicit all relevant information"" in determining whether an applicant has ""credible fear"" of persecution if returned home"," the first obstacle faced by migrants on the U.S.-Mexico border requesting asylum. (Graphic: tmsnrt.rs/2m4aPAs) Three sources familiar with the drafting of the guidance said the goal of the new instructions is to raise the bar on initial screening in order to ease strain on the courts and reduce the number of immigrants allowed to stay in the United States"," often for years"
"Newspapers aim to ride 'Trump Bump' to reach readers, advertisers"," NEW YORK (Reuters) - The Trump administrations combative view of traditional news media as the opposition party and fake news is turning out to be the best hope in 2017 for newspapers struggling to attract more digital readers and advertisers.  The New York Times (NYT.N), the Financial Times, The Wall Street Journal and Gannett Co are building on the online readership they gained during the 2016 presidential election by marketing unbiased reporting as a sales strategy.  The risk, however, is whether those new readers will attract advertising dollars to the newspapers, some of which have been criticized for having political leanings. An Edelman survey of more than 33,000 people in 28 countries shows trust in the media is at an all-time low at just 35 percent.  So far, there is reason for optimism among newspaper executives and investors. The New York Times, which President Donald Trump has referred to as failing in his Twitter messages, added a record 276,000 digital news subscribers in the last quarter and sees digital ad revenue up 10 to 15 percent in the current quarter. The company said it expects to add 200,000 digital subscriptions to its news products in the first quarter.  The Wall Street Journal added 113,000 digital subscriptions in its latest quarter, an almost 12 percent jump. The company said that Januarys numbers were even higher, but it declined to provide figures.  Financial Times digital subscriptions jumped 6 percent in the fourth quarter to 646,000, while digital subscriptions at the 109 local newspapers across the country that make up the Gannetts USA Today Network, grew 26 percent to 182,000 in the fourth quarter.  Meanwhile USA Today, which is part of the USA Today Network, and not subscription based, saw revenue grow 1.4 percent, the company said. It said 68 percent of USA Todays advertising revenue in the fourth quarter came from digital.  In addition to the proliferation of "fake news"" websites that publish false stories for propaganda purposes"," another challenge for traditional media is hostility from Trump who has on occasion described their reporting as ""fake news."" Republican Trump's close adviser"," Stephen Bannon"
"Senators question Kaleo' $4,500 tag on opioid overdose treatment","(Reuters) - U.S. Democrat Senator Claire McCaskill on Thursday asked Kaleo Pharmaceuticals to justify the more than 550 percent surge in the price of its device to treat painkiller overdoses, becoming the second senator to question Evzios $4,500 price tag. Evzio contains the overdose-reversing drug naloxone and can be used in emergencies by people without medical training. Privately held Kaleo has raised the price of a twin-pack to $4,500, from $690 in 2014, according to a Kaiser Health News report. (bit.ly/2kFzxaq) The concerns over Evzios price comes at a time when pharmaceutical companies are facing intense scrutiny over price-gouging, and as lawmakers struggle with the epidemic of opioid abuse. The Centers for Disease Control and Prevention estimates at least 91 Americans succumb every day to opioid overdose, which experts partly blame on unrestricted painkiller prescriptions. "At a time when Congress has worked to expand access to naloxone products and to assist state and local communities to equip first responders with this life-saving drug"," this startling price hike is very concerning"," McCaskill said in a letter to Kaleo Chief Executive Spencer Williamson. (bit.ly/2kYbUMP) The letter"
"About 900 State Department officials sign protest memo: source","WASHINGTON (Reuters) - About 900 U.S. State Department officials signed an internal dissent memo protesting a travel ban by U.S. President Donald Trump on refugees and travelers from seven Muslim-majority countries, a source familiar with the document said on Tuesday, in a rebellion against the new presidents policies. A senior State Department official confirmed the memorandum had been submitted to acting Secretary of State Tom Shannon through the department's "dissent channel"," a process in which officials can express unhappiness over policy (bit.ly/2jOYW0y). White House spokesman Sean Spicer said on Monday he was aware of the memo but warned career diplomats that they should either get with the program or they can go.  A draft of the dissent memo seen by Reuters argued that the executive order would sour relations with affected countries"," inflame anti-American sentiment and hurt those who sought to visit the United Spates for humanitarian reasons. It said the policy runs counter to core American values of non-discrimination"
"Trump to Republicans: Act swiftly to replace Obamacare","WASHINGTON (Reuters) - U.S. President-elect Donald Trump on Tuesday pressured fellow Republicans working to repeal Obamacare in Congress to pass a replacement for the healthcare law at the same time or soon after they vote to dismantle it. Trump told the New York Times he wanted a substitute for President Barack Obama's 2010 healthcare law done "very quickly or simultaneously"" to the vote to get rid of it. (nyti.ms/2ia9qLk) The law"," popularly known as Obamacare"," has enabled millions of previously uninsured Americans to obtain health insurance"
"Trump fans' 'Deploraball' party shows rift in alt-right movement","NEW YORK (Reuters) - Supporters of U.S. President-elect Donald Trump have appropriated the phrase basket of deplorables - used by Hillary Clinton during the campaign to pillory some of his backers - to plan an inauguration party called the Deploraball.  But while the intention might be to mock the defeated Democratic candidate, the planned gathering has revealed a deep schism within the ranks of a movement known as the alt-right: pitting those embracing white nationalism or outright racism against those seeking a more credible platform for hard-right conservatives. The party will be held at the National Press Club in Washington the night before Trump is sworn in on Jan. 20, when many official inauguration events are taking place.  Organizers say the Deploraball is a cocktail party for Trump supporters from all ethnic backgrounds and no incendiary or discriminatory actions will be allowed. Organizers call themselves Trumpists and say they have sold 1,000 tickets ranging in price from $99 to $2,500. But after an online battle between star guests, Deploraball organizers offered ticket holders refunds in light of recent events. One of the original organizers of the ball, alt-right social media personality Tim Treadstone who is commonly referred to by his online persona Baked Alaska, has been disinvited after tweeting several anti-Semitic comments, setting off angry  exchanges among members of the alt-right on Twitter. Another featured guest at the party, Mike Cernovich, has condemned Treadstone for appearing anti-Semitic and homophobic. The lines are drawn and the fracture is more or less complete, he said. Cernovich, an architect of viral Internet trends promoting rumors of Clintons supposed ill health that have been credited with helping push Trump to victory with the support of the alt-right, said he has rejected the alt-rights descent into white nationalism.  The alt-right movement, which came to the fore during the presidential campaign, is a loose grouping that rejects mainstream politics and includes neo-Nazis, white supremacists and anti-Semites. It had previously been more widely embraced by libertarians and the far-right fringe: people more opposed to the concept of political correctness than to racial or other diversity. Trump has been criticized for naming Steve Bannon, former head of the Breitbart News website that is closely linked to the alt-right, as a senior White House adviser. Days after the Nov. 8 election, the movement was strongly  criticized when some Trump supporters gave Nazi salutes to alt-right leader Richard Spencer, president of the National Policy Institute, during a gathering in Washington to celebrate Trumps victory.  The incident prompted some figures linked with the alt-right to assume the term new right to describe themselves instead.  In an interview with New York Times journalists last month, Trump condemned the alt-right conference organized by Spencer. I condemn them. I disavow, and I condemn, Trump said. After Treadstone posted anti-Jewish tweets over the past week, Cernovich told him not to repeat the so-called hailgate scandal at Deploraball.  No Nazi salutes ... or dont have your name on the event, Cernovich wrote in a series of insult-filled text messages to Treadstone that were later posted on Twitter.  The argument raged on social media between the two southern California-based men, who were once friends, egged on by their fans. You used the movement and now you want to distance yourself from it, Treadstone, wearing pastel-colored camouflage apparel and a bleached blond beard, said in one 45-minute video post. The Republican president-elect, Trump, has not been formally invited to the event nor is he expected to attend, but of course wed be thrilled if he did, said one organizer, Jeff Giesea. Trumps transition team was not immediately available for comment on the party. In remarks she quickly said she regretted, Clinton told a fundraiser in September that Trump had given voice to hateful rhetoric through his behavior as a candidate and that half of his supporters belonged in a basket of deplorables. Trump supporters seized on the phrase as typifying snobbish put-downs by coastal elites. The Deploraball was initially planned for the Clarendon Ballroom in Arlington, Virginia, but organizers said the venue was switched because of pressure on the Clarendon from Clinton supporters. The Clarendon, a private events venue and nightclub, denied that and said in a statement it decided not to issue a contract due to the suspicious actions of the organizers. Performers will include singer Scott Isbell and classical pianist Stephen Limbaugh, according to the organizers, who have also invited rapper Kanye West but have not heard back. Treadstone, a former rapper and orchestrator of pro-Trump flash-mobs, had also been scheduled to perform. Another guest star will be Breitbarts U.S. technology editor, Milo Yiannopoulos, organizers say. Yiannopoulos has been criticized for comments he has made about Muslims, Black Lives Matter activists and feminists. Twitter banned him in July for inciting harassment of the actress Leslie Jones. The Hollywood Reporter reported on Thursday he had secured a book deal and quoted him as saying, "They said banning me from Twitter would finish me off. Just as I predicted"," the opposite has happened."" (bit.ly/2hzszWy) Treadstone said the main difference between himself and the so-called new right"," including Cernovich and Yiannopoulos"
"Commentary: Trump can't fight Islamic State without wading into Syria's war","Over the course of the U.S. presidential campaign, Donald Trump changed his mind on many issues. But hes been consistent on one foreign policy question: he wants to end American support for Syrian opposition groups fighting Bashar al-Assads regime. Trump argues that the United States should expend all of its efforts on fighting Islamic State instead.  "Ive had an opposite view of many people regarding Syria"," Trump told the Wall Street Journal on Nov. 11"," in his first interview after he won the White House. My attitude was youre fighting Syria"
"Trying to move on from the U.S. election? Tune into November 2020","WASHINGTON (Reuters) - Missing those presidential campaign highs and lows? Suffering post-U.S. election blues?  Whether you loved Tuesdays result or were dismayed, there are places to help you focus on the next presidential contest on Nov. 3, 2020. Online sites such as Ireland-based Paddy Power already are putting odds on the next man or woman who will take over the White House after Donald Trumps first four-year term ends in January 2021. Republican Trump, who beat Democratic rival Hillary Clinton on Tuesday, is Paddy Powers clear current favorite to win in 2020 and serve a maximum second term.  His closest rivals are vice president-elect Mike Pence, the just defeated vice presidential candidate Tim Kaine and Republican U.S. House of Representatives Speaker Paul Ryan. They are followed by outgoing first lady Michelle Obama and Clinton. Some very long shots on Ireland-based Paddy Power's extensive list include Clinton's daughter, Chelsea Clinton, and the actor who plays a chillingly corrupt politician in the hit TV series "House of Cards"," Kevin Spacey. (bit.ly/2fG1VYr) Britain-based Ladbrokes' online betting site has a shorter line-up but also includes Trump as favorite to win in 2020. (bit.ly/2emXXWH) Various websites allow you to set a by-the-second countdown until Election Day in 2020"," including here. As of Thursday"
"U.S. militia girds for trouble as presidential election nears"," JACKSON, Ga. (Reuters) - Down a Georgia country road, camouflaged members of the Three Percent Security Force have mobilized for rifle practice, hand-to-hand combat training  and an impromptu campaign rally for Republican presidential candidate Donald Trump.  How many people are voting for Trump? Ooh-rah! asks Chris Hill, a paralegal who goes by the code name Bloodagent.  Ooh-rah! shout a dozen militia members in response, as morning sunlight sifted through the trees last weekend.  As the most divisive presidential election in recent memory nears its conclusion, some armed militia groups are preparing for the possibility of a stolen election on Nov. 8 and civil unrest in the days following a victory by Democrat Hillary Clinton.  They say they wont fire the first shot, but theyre not planning to leave their guns at home, either.  Trump's populist campaign has energized militia members like Hill, who admire the Republican mogul's promise to deport illegal immigrants, stop Muslims from entering the country and build a wall along the Mexico border. Trump has repeatedly warned that the election may be "rigged"," and has said he may not respect the results if he does not win. At least one paramilitary group"," the Oath Keepers"
"Trump apologizes for lewd talk caught on live microphone in 2005","WASHINGTON (Reuters) - Donald Trump issued an apology on Friday after the release of a video in which the Republican presidential candidate was recorded on an open microphone in 2005 talking in vulgar terms about trying to have sex with women. This was locker room banter, a private conversation that took place many years ago. Bill Clinton has said far worse to me on the golf course - not even close. I apologize if anyone was offended, Trump said in a statement released by his campaign. The video, released in a Washington Post story (wapo.st/2dSk1nD), was recorded while Trump was speaking with TV host Billy Bush of "Access Hollywood"" while they were about to tape a segment about a planned cameo appearance by the New York businessman on the soap opera ""Days of Our Lives"," the Post reported. Trump has faced repeated criticism for his comments about women"," most recently involving his attacks on a former beauty queen with a vague and unsubstantiated allegation about a sex tape in predawn Twitter posts that prompted Democratic rival Hillary Clinton to denounce him as unhinged.   ""
"U.S. and China target Chinese firm suspected of North Korean nuclear link: WSJ","(Reuters) - The United States and China are targeting the finances of Hongxiang Industrial, a Chinese company headed by a Communist Party cadre which the Obama administration thinks has a role in assisting North Koreas nuclear program, the Wall Street Journal reported on Monday. Police in Liaoning, the northeastern border province of China, started a probe into the firm's alleged long-term involvement in "serious economic crimes"" over the course of its trading activities"," the paper reported. (on.wsj.com/2cz8iu1) Certain assets related to the company"," its founder and top executive Ma Xiaohong"
